Group,Contour,Depth,Gp,Block,pH,N,Dens,P,Ca,Mg,K,Na,Conduc
1,Top,0-10,T0,1,5.4,0.188,0.92,215,16.35,7.65,0.72,1.14,1.09
1,Top,0-10,T0,2,5.65,0.165,1.04,208,12.25,5.15,0.71,0.94,1.35
1,Top,0-10,T0,3,5.14,0.26,0.95,300,13.02,5.68,0.68,0.6,1.41
1,Top,0-10,T0,4,5.14,0.169,1.1,248,11.92,7.88,1.09,1.01,1.64
2,Top,10-30,T1,1,5.14,0.164,1.12,174,14.17,8.12,0.7,2.17,1.85
2,Top,10-30,T1,2,5.1,0.094,1.22,129,8.55,6.92,0.81,2.67,3.18
2,Top,10-30,T1,3,4.7,0.1,1.52,117,8.74,8.16,0.39,3.32,4.16
2,Top,10-30,T1,4,4.46,0.112,1.47,170,9.49,9.16,0.7,3.76,5.14
3,Top,30-60,T3,1,4.37,0.112,1.07,121,8.85,10.35,0.74,5.74,5.73
3,Top,30-60,T3,2,4.39,0.058,1.54,115,4.73,6.91,0.77,5.85,6.45
3,Top,30-60,T3,3,4.17,0.078,1.26,112,6.29,7.95,0.26,5.3,8.37
3,Top,30-60,T3,4,3.89,0.07,1.42,117,6.61,9.76,0.41,8.3,9.21
4,Top,60-90,T6,1,3.88,0.077,1.25,127,6.41,10.96,0.56,9.67,10.64
4,Top,60-90,T6,2,4.07,0.046,1.54,91,3.82,6.61,0.5,7.67,10.07
4,Top,60-90,T6,3,3.88,0.055,1.53,91,4.98,8,0.23,8.78,11.26
4,Top,60-90,T6,4,3.74,0.053,1.4,79,5.86,10.14,0.41,11.04,12.15
5,Slope,0-10,S0,1,5.11,0.247,0.94,261,13.25,7.55,0.61,1.86,2.61
5,Slope,0-10,S0,2,5.46,0.298,0.96,300,12.3,7.5,0.68,2,1.98
5,Slope,0-10,S0,3,5.61,0.145,1.1,242,9.66,6.76,0.63,1.01,0.76
5,Slope,0-10,S0,4,5.85,0.186,1.2,229,13.78,7.12,0.62,3.09,2.85
6,Slope,10-30,S1,1,4.57,0.102,1.37,156,8.58,9.92,0.63,3.67,3.24
6,Slope,10-30,S1,2,5.11,0.097,1.3,139,8.58,8.69,0.42,4.7,4.63
6,Slope,10-30,S1,3,4.78,0.122,1.3,214,8.22,7.75,0.32,3.07,3.67
6,Slope,10-30,S1,4,6.67,0.083,1.42,132,12.68,9.56,0.55,8.3,8.1
